i,1.01e-01
a,9.74e-02
e,9.67e-02
o,8.61e-02
n,7.91e-02
t,6.60e-02
r,6.53e-02
s,4.94e-02
k,4.58e-02
l,4.35e-02
v,3.68e-02
p,3.34e-02
j,2.97e-02
d,2.55e-02
m,2.30e-02
z,1.98e-02
č,1.63e-02
u,1.57e-02
b,1.49e-02
c,1.44e-02
g,1.25e-02
š,9.84e-03
h,6.68e-03
f,5.71e-03
ž,5.62e-03
w,1.64e-04
y,1.52e-04
q,2.72e-05
x,2.45e-05
ć,1.04e-05
đ,7.04e-06
